12,16,9.99995,17.9999,26,11,31,29,15,14,52,19,7,17,29,138.999,26,32,13,21.9999,12,20.9999,29,12,79.9997,16,22,16,16,18,15,14.9999,8.99998,57.9997,55.9997,55,20,10,18,14,19,9.00001,10,8.00001,16,9,9,24.9999,12,30.9999,9,10,12,10,7.99999,7,9.00001,8.00001,23,33,40,17,33,18.9999,8.00001,47.9998,32,17,6.99999,11,26,22,8.00001,11.9999,5.99999,17,18,24,19,14,9,11,19,9.00002,9.00002,10.9999,15.9999,18.9999,17,35,15,15,43,38,30,15.9999,47.9999,21,33.0001,17.9999,70.9996,15,11,10,5.00001,29,18,12,9.99993,8.99999,52.9998,19,36,45,25,26,13,12,13,9.00002,9.00002,37.9998,11.9999,14,28,52,13.9999,8.00002,21,13,20,7.00001,9.00002,4.00001,5.99997,6.99991,5.00001,14,7.00001,5.00001,15,16,15,11,22,17,13,7.99998,5.99996,10,10,14,8.00002,6.99998,12,37.0001,9.00001,61,23,19,10.9999,9.99991,18,35,10,11,16,32,12,35,18,13,31.9999,9.99996,17,8,8.00002,73.9999,7.00001,4.00001,10.9999,8.00001,12,63.0001,18,15.9999,8.99999,39,29,16,74.9997,19,13,52.9999,10,10,66.9999,30.0001,12.9998,24.9997,
19,15,15,5,8.99998,8,27,18,25,6,17,8,7.99999,17,28,18,19,20,5,10,16,13,31,5.00001,35,19,18,7,12,9.00002,42.9998,12,20,20,6,5.99997,13,32,46,7.00001,9,11,12,9,16.9999,18,18,17,18,6.00001,7.99999,12,10,16,9.99999,24.9999,12,19,15,15,26,24,20,17,9,17,9.00001,7,8.99998,6.99996,14,23,6.00001,7.99999,9.99998,16,12,21,15.9999,46.9998,9.99996,14,28,18,58.9998,17,7.99998,13,16.9999,6.99997,7.00001,12,13,9.99999,11,21,10,25,20,12,14,22,12,12,7.99999,11,14,10,12,6.99997,44.9999,20,16,6.00001,27,13,39,49.0001,21,36,13,27.9999,18.9997,19,26,30,9.00001,13,27,24,24.9999,7.00001,11,5.00001,4.99996,6.99997,20,23,7,6.00001,11,17,5.00001,7.00001,8.00001,11,17,8.99998,16.9998,6,6.00001,25,10,18,16,8.00001,17,11,8,23,4.99997,8.99997,9.00002,7.00001,18,13,19,6.00001,21,10,11,39,22,25.9998,17,34.9997,9.00001,31,9.00002,17,13,12,6.00001,20,18,11,9.99996,16,17,69.0001,32.0001,25,5.00001,11,12,23,27,17,56.9996,26.9998,
31,15,14,36,27,9,19,6.99997,21,19,12,19,25,13,45,13,15,20,18,8.00001,13,6,17,30,37,13,55,13,15,13,10,9,10,18,16,49,7,7,8.00001,13,13,8.00001,12,18,20,13,30,14,11,14,11,5.00001,12,16,12,24.9999,38,30,29.9998,14,14,26,29,15,15,48.0001,10,25,29.9999,9.00002,15,15,16,11,25.9998,5.00001,30,19,26.0001,9.00001,7.99998,15,12,13,13,5.99996,11,8,8.00001,15,16,23,9.99998,21,17.9999,8.00001,10,11,7.00001,45.9999,11.9999,5.00001,12,10,17,8.00002,18,6.00001,8.99998,7.99996,14,9.00001,18,14,15,17.9999,12.9999,12,20,12,20,40.9998,23.9999,15,53.9996,35,13,14,17,18,34,9.00001,13,8.00001,15,75.9994,13,17,10,27.9999,25,22,26,11,12,28,12,8.99994,8.99995,10,34,7.00001,40,8.00001,10,15,21,10,8.00001,7.00001,10.9999,10.9999,10,7.00002,9.00002,25,17,11,20,16.9999,5,20,14.9999,25.9999,27,31,30,13,25,9.00002,13,14,13,62,10,15.9999,14.9999,14,14,45,20,38,18,7.99999,25.9999,12,24,22,21.9999,13.9999,
40,9.00001,24,41.9999,6,34,9.00001,14,26,17,22,26,8.99998,11,7.99999,10,75,17,16,32,26,24,10,31,16,6.00001,17,11,14,29,14,6.99999,11,12,31,15,16,19.9998,8.00001,19,34,116.999,23,18,19,69,9,24,21,54.9998,20,42,18,13,8,17,15,10,5.00001,11.9999,11,14,11,10,12,27,39.0001,17,15,8.00001,8.00002,28,89.9997,7,11,15,17,11,30,6.00001,12,14,9.00001,14,22,14,10,4.99999,6.00001,7.99998,17,8.00001,9.99999,16.9999,4,8.00001,7.99997,37.9999,14,8.99998,6.99996,18.9999,7.00001,17,35,11,13,9.00001,7.99996,13.9999,9.00001,9.00002,24,11,15,24,12,5,10,8.00001,28,33.9996,24.9996,11,25,40,59,34,14,26.0001,12,35,15,6.00001,12.9999,15.9999,11,8.00001,16,31,26,11,15,9.00002,20,18.9999,23,6.99999,17.9999,13,29,18,6.00001,5.00001,8.00001,16,9.99998,7.00001,46,19,20,7.99999,10,6.00001,11,23,30,24.0001,31,11.9999,16,34,12.9999,21.9998,10,17,8.00002,55,39,21,15,26,14,75.9996,35.9998,25.9998,16,31,23,39.9999,6.00001,21.9999,9.00002,5.00001,11,21,15,14,13,7.99998,
8,12,10,29,40.0001,36.9999,10,5.99999,14,11,11,12,9.99999,9,11,18,16,13,11,40.9998,7.00001,14,21,45,12,5,9.00001,7.99999,8,19,10,14.9999,23,28.0001,12,7.00001,8,29,13.9999,14,39,11,9.00001,26,8.00001,8.00002,45,28,26,35,16,27,7.00001,16,12,58.9998,21,13,11,12,12.9999,32.9999,12,8.00001,12,14,15,11,14,11,10,46.0001,8.00001,15,5,13,14,23,18,9.00001,15,66.9997,24,28,16,11,37.9999,9,32,7.00001,14,9,20,11,15,24,11,11,44,41.9999,16,8.00002,9.00001,29,9,13,8.00001,9,26.9998,12,10,12,6,7.99999,5.99999,23,9.00001,25,25.9999,19.9999,9.99999,22.9999,17,11,25,10,10,29,15,39,19,6,10,38.0001,9.99999,13.9999,15,12,14,37.9999,10,19,28,30,12,21,38,11.9999,9.99997,8.00001,11,24,26,21,12,22,10,8.00001,17,30,14.9999,18.9999,10,16,13,10,19,9,9.00002,9.99999,15,21,14,15,20,13,14,9.99998,21,19,16,13,61.9999,29.9999,17,19.9999,37.9997,34.9999,9.99999,8,23,10,17,8,12,18,24,19,15.9999,12,
5,11,12,6.99999,22,12,9.99999,9,13,20,7.00001,5.99999,11,15,19,9.00001,9,12,26.9999,43.9998,22,6.99998,6,12,9,9.00001,11,5,5,20,16,12,18.9999,14,13,14,49.9999,12,18,14,26,33,13,22,9.99999,13,49.9999,12,10,16,24,25,14,9.00001,30,14.9999,13.9999,19.9999,15,43,23.9999,4.99998,10.9999,11,13,24,10,11,11.9999,21,30,37,20,7.99997,17,17,7.00001,11.9999,7.00001,11,7.99998,12,18,15,8.00002,23,13,20,11,21,6.00001,10,12,17,33,31,32,55,27,30,31,10,41,11,13,17,6.00001,11,29.9997,15,7.00001,20,15,17,13,49.0001,8,9.00001,11.9999,18,29.9999,26.9998,17.9999,11,19,21,19,24,13.9999,35.9998,9.00001,12,7.00001,45,9.99994,4.99996,18.9999,10,11,50.9999,11,15,27,19,13,23,13,11.9999,8.99995,9.99999,11,22,21,12,11,17,9.00001,9.00002,16,25,13.9999,8.99992,14.9999,36.9998,9.00002,11,15,7.00001,14,15,40.0001,12,34.9997,13.9999,7.00001,23,9.99999,55,32,28,23,29,27,55,9,14,8.99997,13,16,12,21.9999,19,12,16,9.00002,18,13,6.00001,29.9998,16.9999,
17,17,15,17,15,5,19,14,16,6.00001,12,9,14,16,12,13,10,16,9.00001,9.99994,7,5,9.00001,12,23,23,34,12,10,8.00001,18.9999,7,21,8,20,13,18,57.9999,30,26,41.9999,27.0001,34,21,11,30,14,7,8.00001,12,15,12,6.00001,17,6.99999,26.9999,5.00001,7.00001,17,11,44.9998,18.9999,12,32.9999,26.0001,7.00001,26,5,23.9999,20,6,8,32,17,29.9999,26,19,29,6.00001,10,9.99997,13.9999,7.99996,6,7.00001,4.00001,12,12,21,71.9999,10,26,9.99999,14,9.00002,13,41,27.9999,49.9998,23.9999,37.9998,139.999,9.00001,7.00001,30,27,16,18,10.9999,22.9999,7,9.00001,14,6.99997,6.99999,24,19,44,20,11.9999,62.9996,14.9999,12.9999,13,10,18,21,45,75.0001,43.0001,12,68.9997,20,8.00001,4.99998,6.99994,11,7,7.99999,47.9998,6.00001,8.99999,11,22,34,8.00002,11,29.9998,14,18,55.9995,9.99997,14,12,17.9999,15,11,17,14,45.9999,33.9998,6.99997,22.9999,14,9.99998,32,14,8.00001,20,7.00001,47,28,12.9999,22.9999,9.00001,10,6.00001,30,17,13,14,36,34,18.9999,17,53.9995,11.9999,52,20.9999,15,10,20,22.9998,27,30,41,14,12,9.99997,8.99994,
8.00001,16,28,6.99999,8.00001,18,9.00001,35,6.00001,8,9.99999,7,15,21,20,39.9998,10,8,11,26,54.9999,29,44,34,9,19,20,15,6,19,7.00001,20,8,17,15.9999,13,17,30,9.00001,13,11,15,18,14,7,30,19,7,9.00001,34,4,5.00001,13,14,13.9999,7.99999,15,16,27,16,12,29,12,19,8,12,26,11,7,6.00001,12,13,14,23,23.9999,10,9.00002,7.00001,12,27,13,60.9998,17,8.00001,18,19,11,13,15.9999,9.00001,7.00001,8.00001,23.9998,45.9995,43,51,14,8.00001,17.9999,19,7.99999,8.00002,15,16,8.00002,9.00001,19,17,8.99996,17.9999,45,13,5.99998,12,10,10,14,12,13,11.9999,13.9999,22.9998,15,30.0001,16,12,7.00001,13,11,11,33,16,15,7.00001,23.9999,18.9999,16,30.0001,11,7.99999,5.00001,13,20,15.9999,26,13,9.00001,19.9998,11.9999,9.00002,42,17,15,16,20,27,7.99997,13,71,10,11.9999,43.9998,9.00001,10,57,17,31.9999,11,15,37,45.0001,81.9999,8.99997,8.99995,29,21,16,10,6.00001,8,33,30,17,41,28,13.9999,8.99998,21.9999,33.0001,23,11,20,18,16.9999,7.00001,113,16,7.00001,4.99999,5.99998,
5,29,14,14,18,13,17,16,8,12,5,10,20,15,16,13,14,11,19,14,55,12.9999,20,9,18,27,12,17,10,35,58,9,8.00001,50.9998,12.9999,9.00002,28,27,44,23.0001,40,7,11.9999,9,24.9999,12,17.9999,24,28,14,13,17.9999,11,20,25.9999,65.9998,10,9.00001,12,18,5.99999,10,16,45.0001,39.0001,8.00001,13,16,10,15,6.99999,9.99998,7.00001,10.9999,31.9999,6.00001,7.99997,11.9999,19,29,106.999,31,23,7.00001,7.00001,13,11,29.9999,8.00001,20,29.0001,26,21.9999,15.9999,11,16,23,16,13,30.9999,42.9999,14,10,15,23,23,17,8.00002,16.9999,14.9999,7.00001,11,6.00001,32,85.0001,16,9.00001,28,43,8.00001,16,17,5.99997,14.9999,13,10,7.00001,24,13,5.00001,31,93.9999,14,26,6.99997,11,11,14,12,21,16.9999,14,16,8.00002,11,7.00001,7.99997,12,5.99998,12,13,24.9999,16,15,9.00001,24.0001,11,29,9.00001,10,8.99994,4.99999,13,82.9999,18,15,14,10,37,42,13,9.00002,6.99999,15.9999,39,13,34.0001,10,14,14,39,19,16,11,113,53.9998,46.9996,28.9999,19,12,20,18,30,9.00001,9.00001,35,23,13,5,22.9998,
15,30,9,7.00001,12.9999,18,14,26,13,15,7.00001,7.00001,15,7,12,12,18,17,10,21,30.9999,21,30,43,5.99998,8,11,14,8,17,21,23,15,21,15,10,46,62.9999,17,54,15,13,20,8,5,10,15,9,15,35,7,6.99996,9.00002,6.00001,14,7,7,6.00001,5.99999,40,18.9999,14,16,19,19,5.00001,18,43.9999,15,13,16,7,8.00001,8.9999,22.9999,4.00001,9.00002,13,8.00002,12,17,20,17,12,31,9.00002,6.99998,12,6.00001,14,7,22,7.99993,17,22.9999,54,28,23,14.9999,10.9999,12,19.9999,19.9999,10.9999,101,24,89.9999,13,58.9994,14,12,32,9,22.0001,13,18,19,12,9.00002,21,9,11.9999,12,14,13,29,12,20,9.00002,11,14.9999,7.99996,5.00001,8.00001,25.9999,9.9999,8.00001,7,15,17,11,31.0001,99.9997,14,105.999,15,18,14.9999,21.9997,15,8.00001,64,22,7,27,12,10,9.99997,14,9.00002,14.9999,22.9998,14,22,15,6.99996,13,10,9.00001,23,5.00001,12,6.99997,4.99998,9.00001,39,19,15,10,23,11,11,26.0001,51.0001,18,67.9999,58.9995,38.0001,15,45.0001,22,14,18,20,11,31.9998,25,14,14,9.99996,
